STATECD.x,PLOT_STATUS_CD,PLOT_FIADB.x,State_Plot,STATECD.y,PLOT_FIADB.y,sum_propfor,n_plots
41,1,92014,9201441,41,92014,2,2
41,1,92135,9213541,41,92135,2,2
41,1,92780,9278041,41,92780,2,2
41,1,98538,9853841,41,98538,1.928341,2
41,1,65376,6537641,41,65376,1.9972750000000001,2
41,1,50521,5052141,41,50521,1.94733,2
41,1,87641,8764141,41,87641,2,2
41,1,65272,6527241,41,65272,1.933494,2
41,1,51187,5118741,41,51187,2,2
41,1,94997,9499741,41,94997,1.900336,2
41,1,68816,6881641,41,68816,2,2
41,1,88518,8851841,41,88518,2,2
41,1,69601,6960141,41,69601,2,2
41,1,89858,8985841,41,89858,1.891623,2
41,1,68630,6863041,41,68630,1.827944,2
41,1,92020,9202041,41,92020,2,2
41,1,71758,7175841,41,71758,1.917786,2
41,1,86788,8678841,41,86788,2,2
41,1,89978,8997841,41,89978,2,2
41,1,83275,8327541,41,83275,2,2
41,1,54921,5492141,41,54921,1,2
41,1,74202,7420241,41,74202,2,2
41,1,70276,7027641,41,70276,2,2
41,1,51189,5118941,41,51189,2,2
41,1,62395,6239541,41,62395,2,2
41,1,50739,5073941,41,50739,2,2
41,1,84915,8491541,41,84915,0.5,2
41,1,87575,8757541,41,87575,2,2
41,1,94741,9474141,41,94741,2,2
41,1,60948,6094841,41,60948,2,2
41,1,56177,5617741,41,56177,2,2
41,1,67940,6794041,41,67940,2,2
41,1,67329,6732941,41,67329,2,2
41,1,79227,7922741,41,79227,2,2
41,1,98926,9892641,41,98926,1.478821,2
41,1,62495,6249541,41,62495,2,2
41,1,92986,9298641,41,92986,2,2
41,1,68533,6853341,41,68533,2,2
41,1,66264,6626441,41,66264,2,2
41,1,99921,9992141,41,99921,2,2
41,1,52269,5226941,41,52269,1.827226,2
41,1,50516,5051641,41,50516,2,2
41,1,78030,7803041,41,78030,2,2
41,1,65770,6577041,41,65770,2,2
41,1,99669,9966941,41,99669,1.982634,2
41,1,61121,6112141,41,61121,2,2
41,1,74208,7420841,41,74208,1,2
41,1,93129,9312941,41,93129,2,2
41,1,87998,8799841,41,87998,2,2
41,1,71778,7177841,41,71778,2,2
41,1,92598,9259841,41,92598,1.999627,2
41,1,87166,8716641,41,87166,2,2
41,1,83258,8325841,41,83258,1.480455,2
41,1,69902,6990241,41,69902,1.442329,2
41,1,66300,6630041,41,66300,2,2
41,1,79756,7975641,41,79756,2,2
41,1,65852,6585241,41,65852,1.6449479999999999,2
41,1,54428,5442841,41,54428,2,2
41,1,81207,8120741,41,81207,1.789624,2
41,1,53959,5395941,41,53959,2,2
41,1,82736,8273641,41,82736,1.994971,2
41,1,79264,7926441,41,79264,2,2
41,1,74604,7460441,41,74604,1.950336,2
41,1,96120,9612041,41,96120,2,2
41,1,91340,9134041,41,91340,2,2
41,1,77283,7728341,41,77283,2,2
41,1,57711,5771141,41,57711,2,2
41,1,82982,8298241,41,82982,2,2
41,1,66774,6677441,41,66774,2,2
41,1,70521,7052141,41,70521,1.75,2
41,1,59138,5913841,41,59138,2,2
41,1,62953,6295341,41,62953,1.8322910000000001,2
41,1,84847,8484741,41,84847,1.369243,2
41,1,67469,6746941,41,67469,0.693419,2
41,1,57531,5753141,41,57531,0.642984,2
41,1,64327,6432741,41,64327,2,2
41,1,88339,8833941,41,88339,1.980196,2
41,1,60924,6092441,41,60924,2,2
41,1,76735,7673541,41,76735,2,2
41,1,84147,8414741,41,84147,2,2
41,1,57627,5762741,41,57627,2,2
41,1,76585,7658541,41,76585,2,2
41,1,87151,8715141,41,87151,2,2
41,1,90022,9002241,41,90022,2,2
41,1,71627,7162741,41,71627,0.030786,2
41,1,71051,7105141,41,71051,2,2
41,1,74361,7436141,41,74361,2,2
41,1,64388,6438841,41,64388,0.522278,2
41,1,60726,6072641,41,60726,0.289051,2
41,1,65438,6543841,41,65438,0.694547,2
41,1,61929,6192941,41,61929,1.644128,2
41,1,55738,5573841,41,55738,2,2
41,1,92742,9274241,41,92742,1.143588,2
41,1,69101,6910141,41,69101,2,2
41,1,56860,5686041,41,56860,2,2
41,1,93373,9337341,41,93373,0.626562,2
41,1,79597,7959741,41,79597,0.462765,2
41,1,52052,5205241,41,52052,1,2
41,1,80741,8074141,41,80741,2,2
41,1,66399,6639941,41,66399,2,2
41,1,96526,9652641,41,96526,0.78718,2
41,1,70690,7069041,41,70690,0.502724,2
41,1,59218,5921841,41,59218,2,2
41,1,70862,7086241,41,70862,2,2
41,1,83588,8358841,41,83588,2,2
41,1,87656,8765641,41,87656,1,2
41,1,83223,8322341,41,83223,1.7877429999999999,2
41,1,68018,6801841,41,68018,2,2
41,1,97869,9786941,41,97869,0.19469,2
41,1,67312,6731241,41,67312,2,2
41,1,75917,7591741,41,75917,0.698915,2
41,1,60269,6026941,41,60269,1.910412,2
41,1,86307,8630741,41,86307,2,2
41,1,81385,8138541,41,81385,2,2
41,1,90511,9051141,41,90511,0.476664,2
41,1,89992,8999241,41,89992,2,2
41,1,78820,7882041,41,78820,2,2
41,1,55508,5550841,41,55508,2,2
41,1,60558,6055841,41,60558,2,2
41,1,88952,8895241,41,88952,1.847835,2
41,1,66240,6624041,41,66240,2,2
41,1,62192,6219241,41,62192,1,2
41,1,91086,9108641,41,91086,2,2
41,1,80784,8078441,41,80784,1.715773,2
41,1,98981,9898141,41,98981,2,2
41,1,65120,6512041,41,65120,1.938849,2
41,1,88405,8840541,41,88405,2,2
41,1,55052,5505241,41,55052,2,2
41,1,90043,9004341,41,90043,2,2
41,1,81919,8191941,41,81919,2,2
41,1,69390,6939041,41,69390,1.981844,2
41,1,96176,9617641,41,96176,2,2
41,1,54297,5429741,41,54297,2,2
41,1,80143,8014341,41,80143,1,2
41,1,63113,6311341,41,63113,2,2
41,1,57800,5780041,41,57800,2,2
41,1,98772,9877241,41,98772,1.441994,2
41,1,54513,5451341,41,54513,1.931961,2
41,1,79198,7919841,41,79198,2,2
41,1,53625,5362541,41,53625,2,2
41,1,96054,9605441,41,96054,2,2
41,1,82226,8222641,41,82226,2,2
41,1,80771,8077141,41,80771,2,2
41,1,91539,9153941,41,91539,2,2
41,1,99631,9963141,41,99631,2,2
41,1,98135,9813541,41,98135,1.495013,2
41,1,99718,9971841,41,99718,2,2
41,1,50499,5049941,41,50499,2,2
41,1,84440,8444041,41,84440,2,2
41,1,85534,8553441,41,85534,2,2
41,1,63762,6376241,41,63762,1,2
41,1,98088,9808841,41,98088,1.4461970000000002,2
